transaction_id,event_ts,customer_id,Amount,channel,merchant_category,country,priority_band,alert_priority_score,fraud_probability,anomaly_score,rule_hits,risk_summary,Class
TXN-0010631,2025-01-01 04:57:18,CUST-08948,766.36,mobile_app,digital_goods,Germany,critical,98.17,0.99999344,0.9372067701136594,4,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history; Night-time digital purchase with elevated device risk,1
TXN-0010691,2025-01-01 05:01:28,CUST-11668,1218.89,card_present,electronics,Netherlands,critical,95.0,0.9999392,1.0,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Night-time digital purchase with elevated device risk,1
TXN-0203330,2025-01-02 13:26:09,CUST-11136,925.31,e_commerce,cash_withdrawal,Poland,critical,94.07,0.9999131,0.8368441102945297,3,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0233258,2025-01-02 16:58:21,CUST-04400,996.27,e_commerce,digital_goods,UAE,critical,93.31,0.99876815,0.7944140299476663,3,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0215986,2025-01-02 14:58:28,CUST-07158,592.9,card_present,bill_pay,Singapore,critical,92.63,0.9999291,0.813032080531102,3,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Rapid repeat transaction pattern; Customer has prior chargeback history,1
TXN-0154695,2025-01-02 04:30:22,CUST-06712,346.94,e_commerce,retail,France,critical,92.39,0.9999925,0.8589220647459597,3,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0006972,2025-01-01 02:31:04,CUST-10996,1809.68,mobile_app,digital_goods,Spain,critical,91.92,0.99985373,0.8464319862278508,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Night-time digital purchase with elevated device risk,1
TXN-0150671,2025-01-02 02:04:20,CUST-03472,188.52,e_commerce,electronics,Turkey,critical,91.8,0.9999931,0.8955709661648736,3,very high model fraud probability; unusual anomaly pattern; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history; Night-time digital purchase with elevated device risk,1
TXN-0000622,2025-01-01 00:07:52,CUST-00934,529.0,e_commerce,digital_goods,Turkey,critical,91.48,0.99932945,0.6446266800070087,4,very high model fraud probability; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history; Night-time digital purchase with elevated device risk,1
TXN-0094221,2025-01-01 17:59:45,CUST-05577,720.38,card_present,electronics,France,critical,91.21,0.9999654,0.8459314443729349,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0107639,2025-01-01 19:35:36,CUST-00189,824.83,e_commerce,cash_withdrawal,UAE,critical,90.81,0.99998415,0.6863879515853727,3,very high model fraud probability; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0144109,2025-01-01 23:51:07,CUST-07576,310.42,atm,cash_withdrawal,Portugal,critical,90.48,0.9999914,0.7756126690889052,3,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0017370,2025-01-01 07:57:38,CUST-08340,99.99,e_commerce,electronics,Spain,critical,90.34,0.99999225,0.890901076017197,3,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0146790,2025-01-02 00:24:43,CUST-09652,829.41,e_commerce,travel,Spain,critical,90.19,0.9988274,0.6578867806444834,3,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history; Night-time digital purchase with elevated device risk,1
TXN-0279864,2025-01-02 22:59:02,CUST-03094,390.0,e_commerce,bill_pay,Germany,critical,90.06,0.99997795,0.7299202343749659,3,very high model fraud probability; Large amount versus customer baseline; Rapid repeat transaction pattern; Customer has prior chargeback history,1
TXN-0249171,2025-01-02 18:51:18,CUST-07396,1504.93,e_commerce,bill_pay,Spain,critical,89.96,0.9999263,0.7482495107789036,2,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0042529,2025-01-01 11:25:38,CUST-00955,340.11,mobile_app,digital_goods,Romania,critical,89.96,0.99998844,0.8645930074521133,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk,1
TXN-0042742,2025-01-01 11:27:07,CUST-08997,459.07,mobile_app,travel,Portugal,critical,89.82,0.99998975,0.8254528603712522,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0215134,2025-01-02 14:52:31,CUST-07667,723.21,mobile_app,travel,Romania,critical,89.67,0.99997354,0.7686283947851887,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0081611,2025-01-01 16:23:31,CUST-06373,1389.56,atm,cash_withdrawal,Germany,critical,89.65,0.99995303,0.7326172978425919,2,very high model fraud probability; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk,1
TXN-0149875,2025-01-02 01:35:02,CUST-04770,600.73,e_commerce,digital_goods,France,critical,89.36,0.99997973,0.6481679055551626,3,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history; Night-time digital purchase with elevated device risk,1
TXN-0141262,2025-01-01 23:23:24,CUST-00177,512.25,e_commerce,electronics,Spain,critical,89.23,0.9999833,0.7838134020635905,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0046919,2025-01-01 11:56:28,CUST-01956,648.0,card_present,digital_goods,Spain,critical,89.1,0.99999404,0.7521460415456509,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0016864,2025-01-01 07:50:42,CUST-07884,730.86,e_commerce,retail,Belgium,critical,89.08,0.9998215,0.7381386208842775,2,very high model fraud probability; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk,1
TXN-0212646,2025-01-02 14:35:42,CUST-00846,727.91,card_present,grocery,Spain,critical,88.82,0.99997187,0.7253301509599778,2,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0099508,2025-01-01 18:39:10,CUST-04069,489.71,e_commerce,digital_goods,Italy,critical,88.81,0.9999956,0.6428709303952084,3,very high model fraud probability; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0150669,2025-01-02 02:04:20,CUST-03157,188.52,card_present,grocery,Germany,critical,88.56,0.99996305,0.8587598906092171,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0150666,2025-01-02 02:04:16,CUST-06161,209.65,mobile_app,travel,Netherlands,critical,88.54,0.99997747,0.8463939176476702,2,very high model fraud probability; unusual anomaly pattern; Cross-border transaction on elevated merchant/device risk; Night-time digital purchase with elevated device risk,1
TXN-0089190,2025-01-01 17:21:07,CUST-10109,1402.16,e_commerce,grocery,Belgium,critical,88.49,0.999936,0.7998073437181379,1,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline,1
TXN-0015567,2025-01-01 07:29:21,CUST-07551,99.99,e_commerce,digital_goods,Singapore,critical,88.15,0.9999939,0.9066724446370988,2,very high model fraud probability; unusual anomaly pattern; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0176050,2025-01-02 10:03:28,CUST-04582,2125.87,card_present,retail,Turkey,critical,88.11,0.9989247,0.6585581068106549,2,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0043204,2025-01-01 11:30:13,CUST-00782,106.55,e_commerce,digital_goods,Netherlands,critical,88.06,0.99999356,0.8948916383255843,2,very high model fraud probability; unusual anomaly pattern; Rapid repeat transaction pattern; Customer has prior chargeback history,1
TXN-0199896,2025-01-02 12:59:44,CUST-00423,1335.0,e_commerce,cash_withdrawal,Spain,critical,88.0,0.99982256,0.6506901354442985,2,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0108711,2025-01-01 19:43:53,CUST-02310,426.4,mobile_app,electronics,UAE,critical,88.0,0.9999832,0.7424446003421493,2,very high model fraud probability; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk,1
TXN-0010891,2025-01-01 05:11:15,CUST-07399,188.78,atm,travel,Portugal,critical,87.96,0.9999727,0.8286528549269276,2,very high model fraud probability; unusual anomaly pattern; Customer has prior chargeback history; Night-time digital purchase with elevated device risk,1
TXN-0043429,2025-01-01 11:31:45,CUST-02744,364.19,mobile_app,travel,Italy,critical,87.68,0.9998356,0.8686160959949711,1,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline,1
TXN-0150663,2025-01-02 02:04:13,CUST-01928,44.9,e_commerce,digital_goods,Spain,critical,87.44,0.99999475,0.8317714796241772,3,very high model fraud probability; unusual anomaly pattern; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history; Night-time digital purchase with elevated device risk,1
TXN-0221020,2025-01-02 15:33:14,CUST-09015,320.01,mobile_app,digital_goods,Portugal,critical,87.23,0.99998665,0.7347522536160451,2,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0015782,2025-01-01 07:33:39,CUST-01254,99.99,mobile_app,bill_pay,Germany,critical,87.2,0.9990287,0.8615467961212504,2,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0044003,2025-01-01 11:35:43,CUST-00340,802.52,e_commerce,digital_goods,Belgium,critical,87.14,0.9999553,0.6309455013140617,2,very high model fraud probability; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk,1
TXN-0107069,2025-01-01 19:31:10,CUST-09355,318.11,e_commerce,digital_goods,Singapore,critical,87.14,0.9999945,0.6059066886564204,3,very high model fraud probability; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0095600,2025-01-01 18:09:45,CUST-10971,1354.25,e_commerce,digital_goods,France,critical,87.08,0.9999566,0.7290442594177355,1,very high model fraud probability; Large amount versus customer baseline,1
TXN-0016781,2025-01-01 07:49:03,CUST-08406,99.99,mobile_app,retail,Turkey,critical,87.01,0.99999154,0.8495567504662369,2,very high model fraud probability; unusual anomaly pattern; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0150668,2025-01-02 02:04:20,CUST-05931,78.0,mobile_app,travel,Spain,critical,86.64,0.9999807,0.857431524883922,2,very high model fraud probability; unusual anomaly pattern; Customer has prior chargeback history; Night-time digital purchase with elevated device risk,1
TXN-0042851,2025-01-01 11:27:53,CUST-00632,173.07,e_commerce,digital_goods,Poland,critical,86.55,0.99999464,0.7672696517669362,2,very high model fraud probability; unusual anomaly pattern; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0150662,2025-01-02 02:04:13,CUST-03726,316.06,mobile_app,cash_withdrawal,Germany,critical,86.5,0.9999938,0.8246991481164576,1,very high model fraud probability; unusual anomaly pattern; Customer has prior chargeback history,1
TXN-0084545,2025-01-01 16:45:53,CUST-02574,454.82,e_commerce,electronics,Germany,critical,86.42,0.9999927,0.6561375795634642,2,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0008973,2025-01-01 03:26:33,CUST-00087,179.66,e_commerce,cash_withdrawal,Italy,critical,86.27,0.99991965,0.7493756843952337,2,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history,1
TXN-0149601,2025-01-02 01:25:54,CUST-09796,261.22,e_commerce,digital_goods,France,critical,86.17,0.9997056,0.7048834671055073,2,very high model fraud probability; Large amount versus customer baseline; Night-time digital purchase with elevated device risk,1
TXN-0150664,2025-01-02 02:04:13,CUST-07433,316.06,e_commerce,retail,Romania,critical,86.16,0.9999291,0.8078040623024263,1,very high model fraud probability; unusual anomaly pattern; Large amount versus customer baseline,1
TXN-0043161,2025-01-01 11:29:57,CUST-06493,273.01,e_commerce,cash_withdrawal,France,critical,86.04,0.99999416,0.8175216251799916,1,very high model fraud probability; unusual anomaly pattern; Customer has prior chargeback history,1
TXN-0145801,2025-01-02 00:13:22,CUST-02140,451.27,atm,electronics,Belgium,critical,85.86,0.999137,0.5067434889381814,3,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history; Night-time digital purchase with elevated device risk,1
TXN-0195385,2025-01-02 12:23:44,CUST-01477,723.21,e_commerce,electronics,Portugal,critical,85.71,0.9995521,0.4466790611345526,3,very high model fraud probability; Large amount versus customer baseline; Cross-border transaction on elevated merchant/device risk; Customer has prior chargeback history,1
TXN-0083298,2025-01-01 16:36:17,CUST-03963,319.2,card_present,cash_withdrawal,Poland,critical,85.57,0.9995964,0.653311728885244,2,very high model fraud probability; Large amount versus customer baseline; Customer has prior chargeback history,1
